DroneID,px,py,pz,vx,vy,vz,thrustZ
0,393.33633243072416,866.3913309825534,187.0760681448774,-45.62704031400534,47.0373660357437,-21.32151593873474,53.79109599249003
0,389.3935901807252,871.2655090620955,185.2336246914529,-39.4274224999896,48.741780795420354,-18.424434534245187,56.03906947346988
0,386.08353530044496,876.1944646319112,183.68683604589793,-33.10054880280242,49.28955569815642,-15.46788645554961,57.22077772700911
0,383.404882234719,881.0737756483082,182.43510146828422,-26.786530657259156,48.79311016397084,-12.517345776137239,57.426321545630614
0,381.3438545179762,885.8111513099901,181.47198321625027,-20.610277167428652,47.373756616818966,-9.631182520339443,56.75571425935321
0,379.8757926673264,890.3269838748928,180.7859579134416,-14.680618506498167,45.15832564902692,-6.860253028086623,55.31582413175836
0,378.9668082273993,894.5545879553747,180.3611894846637,-9.089844399270305,42.27604080481883,-4.247684287779036,53.21750580180516
0,378.5754459631832,898.4401558414977,180.17830589859548,-3.9136226421613385,38.855678861229876,-1.8288358606820116,50.57295797767746
0,378.65432008788645,901.942460036271,180.2151637770693,0.7887412470325641,35.02304194773248,0.3685787847383062,47.49333609523657
0,379.15169457086364,905.0323359162096,180.44758687296454,4.973744829771801,30.898758799386822,2.324230958952359,44.08664049168462
0,380.0129818842393,907.6919783172973,180.85006643450498,8.612873133756748,26.596424010876973,4.024795615404534,40.455892942677856
0,381.18213891317015,909.9140859625898,181.39641351412436,11.691570289308167,22.22107645292397,5.46347079619372,36.69760727337825
0,382.60294308075163,911.7008870731325,182.06035530163518,14.208041675814599,17.868011105427463,6.639417875108184,32.900553263336334
0,384.22013594217606,913.0630783237548,182.8160695257788,16.17192861424405,13.621912506222024,7.557142241436274,29.144807282432176
0,385.98042551287165,914.0187076078355,183.63865284216487,17.60289570695614,9.556292840807386,8.225833163860646,25.501078060509183
0,387.83334235243564,914.5920289494576,184.50452088129313,18.52916839563982,5.733213416220832,8.658680391282536,22.03029172771441
0,389.7319478820641,914.8123554356508,185.3917392452885,18.986055296284448,2.203264861932426,8.872183639953771,18.783416769196798
0,391.6333965308909,914.7129333212705,186.28028619888528,19.014486488267952,-0.9942211438038648,8.885469535967667,15.801506804203825
0,393.4993560598917,914.3298575659986,187.15224908678735,18.65959529000786,-3.8307575527188855,8.719628879020727,13.115937099392667
0,395.29629278460123,913.7010460733025,187.99195761824413,17.969367247095352,-6.28811492696193,8.397085314567713,10.748809421106863
0,396.99563040298307,912.8652868850278,188.78605808731396,16.993376183818267,-8.35759188274648,7.941004690698331,8.713499173416043
0,398.5737927340112,911.8613696058019,189.5235333446034,15.781623310281038,-10.039172792259079,7.3747525728943835,7.015318702010618
0,400.0121418950494,910.727309444244,190.19567390755657,14.383491610382155,-11.340601615578487,6.721405629531635,5.652271106848201
0,401.2968243076759,909.4996695110342,190.79600599897694,12.846824126264842,-12.276399332098924,6.003320914203613,4.615869833032844
0,402.41853744346867,908.212984447146,191.32018254733293,11.217131357928084,-12.866850638881878,5.24176548355984,3.892000631763767
0,403.37223042924086,906.8992861011296,191.7658432795843,9.536929857722022,-13.136983460163684,4.456607322513538,3.461804132661438
0,404.1567515546125,905.5877298566658,192.1324500014705,7.845211253716835,-13.115562444638817,3.666067218861903,3.3025591774768275
0,404.774455395519,904.3043183478114,192.42110300632606,6.177038409064535,-12.834115088543829,2.8865300485558687,3.3885491672956807
0,405.2307817188184,903.071717699612,192.63434429720385,4.563263232993851,-12.326006481994774,2.13241290877803,3.6918959081880045
0,405.53381759992277,901.9091600998948,192.77595296444395,3.0303588110441644,-11.625575997171067,1.4160866724009362,4.183347745221396
0,405.69385330171093,900.8324254421497,192.85073764788956,1.600357017881566,-10.76734657745179,0.7478468344560473,4.833011098066758
0,405.7229414626075,899.8538939723876,192.86433054547652,0.2908816089653461,-9.785314697620196,0.13592897586949027,5.611016804647251
0,405.6344680570896,898.9826613132858,192.822986923078,-0.8847340551791201,-8.712326591018227,-0.41343622398522595,6.488114899766205
0,405.4427424536851,898.2247069115558,192.7333935486071,-1.917256034044596,-7.57954401730011,-0.8959337447090667,7.436193566743865
0,405.16261273223677,897.5831068411126,192.60248892977427,-2.8012972144835313,-6.416000704432594,-1.3090461883281856,8.428719971242309
0,404.80911125976485,897.0582819746943,192.43729769168814,-3.535014724719308,-5.248248664182298,-1.651912380861366,9.441102493169474
0,404.39713438582794,896.6482727878667,192.24478089849742,-4.119768739368885,-4.100091868275046,-1.925167931907116,10.450975496227613
0,403.9411590240611,896.3490324585435,192.03170361194378,-4.559753617668458,-2.99240329323239,-2.1307728655365086,11.438409202368398
0,403.4549978537348,896.1547304485106,191.8045204970503,-4.861611703262711,-1.9430201003296446,-2.2718311489347043,12.386048462473411
0,402.95159391783534,896.0580593772443,191.56927983780446,-5.034039358994987,-0.9667107126632646,-2.352406592458397,13.279185232251141
0,402.4428545234084,896.0505386993681,191.33154591878875,-5.087393944269256,-0.07520677876136883,-2.3773391901570595,14.105770375274219
0,401.93952357391885,896.1228094531447,191.09633936609228,-5.033309494895551,0.7227075377662286,-2.352065526964723,14.856371028869344
0,401.45109078756315,896.2649151374555,190.86809472502824,-4.884327863557129,1.4210568431088972,-2.2824464106402753,15.524080192170242
0,400.98573568266744,896.4665645793575,190.6506342845105,-4.653551048956998,2.0164944190195055,-2.174604405177628,16.104385440875685
0,400.55030374197395,896.7173734558694,190.4471569386244,-4.354319406935073,2.5080887651192567,-2.0347734588607786,16.595003754234977
0,400.15031180011493,897.0070819164359,190.26024070419368,-3.999919418590121,2.8970846056659907,-1.869162344307176,16.99568937241796
0,399.78997942938526,897.3257465028801,190.0918573873517,-3.6033237072968283,3.1866458644410978,-1.6838331684198127,17.308021403879735
0,399.4722829229457,897.6639052700459,189.9433978098925,-3.1769650643955507,3.381587671658034,-1.4845957745920384,17.535177590574634
0,399.19902838540077,898.0127156633131,189.81570596449777,-2.7325453754491615,3.488103932671994,-1.2769184539473881,17.68170023221055
0,398.97094043081927,898.3640653013655,189.70912046332185,-2.2808795458147375,3.5134963805243635,-1.06585501175922,17.753259787427783
0,398.7877630494434,898.710656338665,189.62352167300492,-1.8317738137583526,3.465910372995334,-0.8559879031692739,17.75642112767327
0,398.6483693277588,899.0460645385459,189.5583829868617,-1.3939372168461444,3.3540819988095008,-0.6513868614322011,17.698416835739163
